#Lag. strain          XX           YY           ZZ           YZ           XZ           XY (N/m)  energy (eV)
    0.00000000     -0.03107907     -0.01143629     -0.00000000     -0.00000000     -0.00000000     -0.00000005      -21.45731496
    0.01000000      1.11436970      0.38537792     -0.00000000     -0.00000000     -0.00000000      0.00000001      -21.45047229
    0.02000000      2.14404261      0.73570357     -0.00000000     -0.00000000     -0.00000000     -0.00000004      -21.42980074
    0.03000000      3.06567301      1.04539681     -0.00000000     -0.00000000     -0.00000000     -0.00000004      -21.39677478
    0.04000000      3.88388273      1.31487516     -0.00000000     -0.00000000     -0.00000000      0.00000027      -21.35273117
    0.05000000      4.61114847      1.55722284     -0.00000000     -0.00000000     -0.00000000      0.00000012      -21.29889295
    0.06000000      5.25141414      1.77436449     -0.00000000     -0.00000000     -0.00000000     -0.00000040      -21.23639685
    0.07000000      5.81777193      1.98123631     -0.00000000     -0.00000000     -0.00000000      0.00000021      -21.16625787
    0.08000000      6.29248753      2.14952676     -0.00000000     -0.00000000     -0.00000000     -0.00000021      -21.08948380
    0.09000000      6.69773963      2.28468624     -0.00000000     -0.00000000     -0.00000000     -0.00000008      -21.00694733
    0.10000000      7.04040332      2.43431455     -0.00000000     -0.00000000     -0.00000000     -0.00000003      -20.91945958
