#Lag. strain          XX           YY           ZZ           YZ           XZ           XY (N/m)  energy (eV)
    0.00000000     -0.03107907     -0.01143629     -0.00000000     -0.00000000     -0.00000000     -0.00000005      -21.45731496
    0.01000000      0.96571423      0.16752014     -0.00000000     -0.00000000     -0.00000000      0.00000008      -21.45298410
    0.02000000      1.88065718      0.32822996     -0.00000000     -0.00000000     -0.00000000      0.00000007      -21.43972558
    0.03000000      2.71761070      0.47920526     -0.00000000     -0.00000000     -0.00000000      0.00000001      -21.41846775
    0.04000000      3.48582444      0.62662159     -0.00000000     -0.00000000     -0.00000000      0.00000034      -21.39000241
    0.05000000      4.18667300      0.76870581     -0.00000000     -0.00000000     -0.00000000      0.00000032      -21.35510777
    0.06000000      4.82197334      0.90009846     -0.00000000     -0.00000000     -0.00000000     -0.00000002      -21.31448670
    0.07000000      5.39632119      1.02744321     -0.00000000     -0.00000000     -0.00000000      0.00000011      -21.26881202
    0.08000000      5.91239685      1.14959094     -0.00000000     -0.00000000     -0.00000000     -0.00000007      -21.21869866
    0.09000000      6.37431788      1.27057855     -0.00000000     -0.00000000     -0.00000000      0.00000008      -21.16471931
    0.10000000      6.78275558      1.37923244     -0.00000000     -0.00000000     -0.00000000     -0.00000001      -21.10740913
