#Phy. strain          XX           YY           ZZ           YZ           XZ           XY (N/m)  energy (eV)
    0.00000000     -0.03107907     -0.01143629     -0.00000000     -0.00000000     -0.00000000     -0.00000005      -21.45731496
    0.01000000      0.95619957      0.16918704     -0.00000000     -0.00000000     -0.00000000      0.00000008      -21.45298410
    0.02000000      1.84413609      0.33473020     -0.00000000     -0.00000000     -0.00000000      0.00000007      -21.43972558
    0.03000000      2.63957685      0.49337201     -0.00000000     -0.00000000     -0.00000000      0.00000001      -21.41846775
    0.04000000      3.35423613      0.65120426     -0.00000000     -0.00000000     -0.00000000      0.00000034      -21.39000241
    0.05000000      3.99183608      0.80622546     -0.00000000     -0.00000000     -0.00000000      0.00000032      -21.35510777
    0.06000000      4.55633653      0.95257467     -0.00000000     -0.00000000     -0.00000000     -0.00000002      -21.31448670
    0.07000000      5.05411786      1.09700916     -0.00000000     -0.00000000     -0.00000000      0.00000011      -21.26881202
    0.08000000      5.48952266      1.23814734     -0.00000000     -0.00000000     -0.00000000     -0.00000007      -21.21869866
    0.09000000      5.86803524      1.38020158     -0.00000000     -0.00000000     -0.00000000      0.00000008      -21.16471931
    0.10000000      6.19178039      1.51087344     -0.00000000     -0.00000000     -0.00000000     -0.00000001      -21.10740913
