#Lag. strain          XX           YY           ZZ           YZ           XZ           XY (N/m)  energy (eV)
    0.00000000     -0.03107907     -0.01143629     -0.00000000     -0.00000000     -0.00000000     -0.00000005      -21.45731496
    0.01000000     -0.02971740     -0.01227073     -0.00000000     -0.00000000     -0.00000000      0.45262817      -21.45302213
    0.02000000     -0.04601514     -0.09310470     -0.00000000     -0.00000000     -0.00000000      0.89801670      -21.44004889
    0.03000000     -0.07362844     -0.22342616     -0.00000000     -0.00000000     -0.00000000      1.35527508      -21.41834171
    0.04000000     -0.12025200     -0.42260382     -0.00000000     -0.00000000     -0.00000000      1.83017133      -21.38777123
    0.05000000     -0.16817923     -0.66224452     -0.00000000     -0.00000000     -0.00000000      2.27806576      -21.34815862
    0.06000000     -0.22772236     -0.95759319     -0.00000000     -0.00000000     -0.00000000      2.73986495      -21.29927085
    0.07000000     -0.29407475     -1.31612015     -0.00000000     -0.00000000     -0.00000000      3.18130926      -21.24088017
    0.08000000     -0.36907057     -1.73178311     -0.00000000     -0.00000000     -0.00000000      3.63295598      -21.17268637
    0.09000000     -0.45086837     -2.20758240     -0.00000000     -0.00000000     -0.00000000      4.07743204      -21.09442642
    0.10000000     -0.53995452     -2.74454170     -0.00000000     -0.00000000     -0.00000000      4.51147776      -21.00583791
