#Phy. strain          XX           YY           ZZ           YZ           XZ           XY (N/m)  energy (eV)
    0.00000000     -0.03107907     -0.01143629     -0.00000000     -0.00000000     -0.00000000     -0.00000005      -21.45731496
    0.01000000     -0.03877597     -0.02132931     -0.00000000     -0.00000000     -0.00000000      0.45313869      -21.45302213
    0.02000000     -0.08202029     -0.12910986     -0.00000000     -0.00000000     -0.00000000      0.90152060      -21.44004889
    0.03000000     -0.15535978     -0.30515750     -0.00000000     -0.00000000     -0.00000000      1.36664890      -21.41834171
    0.04000000     -0.26800925     -0.57036107     -0.00000000     -0.00000000     -0.00000000      1.85784020      -21.38777123
    0.05000000     -0.39922522     -0.89329051     -0.00000000     -0.00000000     -0.00000000      2.33127260      -21.34815862
    0.06000000     -0.56321305     -1.29308388     -0.00000000     -0.00000000     -0.00000000      2.83144420      -21.29927085
    0.07000000     -0.75189589     -1.77394130     -0.00000000     -0.00000000     -0.00000000      3.32678675      -21.24088017
    0.08000000     -0.97163904     -2.33435158     -0.00000000     -0.00000000     -0.00000000      3.85063191      -21.17268637
    0.09000000     -1.21906413     -2.97577817     -0.00000000     -0.00000000     -0.00000000      4.38836956      -21.09442642
    0.10000000     -1.49472041     -3.69930758     -0.00000000     -0.00000000     -0.00000000      4.93973019      -21.00583791
