#Lag. strain          XX           YY           ZZ           YZ           XZ           XY (N/m)  energy (eV)
    0.00000000     -0.03107907     -0.01143629     -0.00000000     -0.00000000     -0.00000000     -0.00000005      -21.45731496
    0.01000000      0.13274986      0.23529507     -0.00000000     -0.00000000     -0.00000000      0.00000018      -21.45635397
    0.02000000      0.27924889      0.46379477     -0.00000000     -0.00000000     -0.00000000     -0.00000009      -21.45321617
    0.03000000      0.41041920      0.68099270     -0.00000000     -0.00000000     -0.00000000     -0.00000008      -21.44807498
    0.04000000      0.52822695      0.88737264     -0.00000000     -0.00000000     -0.00000000      0.00000013      -21.44105508
    0.05000000      0.63793452      1.10139849     -0.00000000     -0.00000000     -0.00000000      0.00000029      -21.43227996
    0.06000000      0.72485366      1.26180611     -0.00000000     -0.00000000     -0.00000000      0.00000034      -21.42188735
    0.07000000      0.81026117      1.43998020     -0.00000000     -0.00000000     -0.00000000      0.00000008      -21.40996217
    0.08000000      0.88760878      1.61001827     -0.00000000     -0.00000000     -0.00000000      0.00000005      -21.39658961
    0.09000000      0.95773775      1.77191520     -0.00000000     -0.00000000     -0.00000000      0.00000007      -21.38187875
    0.10000000      1.02176245      1.92789069     -0.00000000     -0.00000000     -0.00000000      0.00000003      -21.36590808
