#Phy. strain          XX           YY           ZZ           YZ           XZ           XY (N/m)  energy (eV)
    0.00000000     -0.03107907     -0.01143629     -0.00000000     -0.00000000     -0.00000000     -0.00000005      -21.45731496
    0.01000000      0.13407079      0.23297684     -0.00000000     -0.00000000     -0.00000000      0.00000018      -21.45635397
    0.02000000      0.28477911      0.45478819     -0.00000000     -0.00000000     -0.00000000     -0.00000009      -21.45321617
    0.03000000      0.42255243      0.66143858     -0.00000000     -0.00000000     -0.00000000     -0.00000008      -21.44807498
    0.04000000      0.54894955      0.85387472     -0.00000000     -0.00000000     -0.00000000      0.00000013      -21.44105508
    0.05000000      0.66907137      1.05014226     -0.00000000     -0.00000000     -0.00000000      0.00000029      -21.43227996
    0.06000000      0.76711301      1.19229471     -0.00000000     -0.00000000     -0.00000000      0.00000034      -21.42188735
    0.07000000      0.86512219      1.34866502     -0.00000000     -0.00000000     -0.00000000      0.00000008      -21.40996217
    0.08000000      0.95598391      1.49486444     -0.00000000     -0.00000000     -0.00000000      0.00000005      -21.39658961
    0.09000000      1.04036950      1.63118016     -0.00000000     -0.00000000     -0.00000000      0.00000007      -21.38187875
    0.10000000      1.11928468      1.75991536     -0.00000000     -0.00000000     -0.00000000      0.00000003      -21.36590808
